Country_Name,Country_Code,Series_Name,Series_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,308406.5,94761.12,27577849.86,47084262.04,10738034.53,10944020.31,107890.1091,242475.5418,36802.95,180660.3999,2402430.875,4778790.721,6111813.816,..,..
Africa Eastern and Southern,AFE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,396369882.1,458714373.8,587668403.8,762155199.1,1066498400,1260750200,1460852925,1836130528,1913592060,1912270944,2068158357,2218812933,2366000693,2379213510,2368730261,2256460185,2394607871,2552763141,2161661761,1787646005,1671894739,1895894901,1720255711
Africa Western and Central,AFW,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,12565896.59,8571818.725,7642540.627,56895380.22,15260467.69,105306761.3,115950984.5,219481160.7,247502232.9,262738120.5,266899774,251239858.9,283984358.7,278039100.4,289056236.2,276882578.3,273617352.8,278307224.6,332642747.6,500983672.4,436502606.1,518136175.4,254051734
Albania,ALB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,8358857.12,4942627.61,4204267.362,6768509.008,11850000,12517993.93,14487498.76,12138446.11,12703928.18,23362460.05,22607333.78,21881927.42,24578013.75,23163082.28,13132426.91,26412466.5,34784215.26,38609323.64,34763724.47,31727566.82
Algeria,DZA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,2000000,15000000,10547283.08,10163263.96,17088438.14,92466206.42,90367205.16,137274934.9,162112437.3,143997401.9,250010594.1,152897904.4,147268735.1,115089900.8,143098650.4,133392700.5,202987326.1,122677213.9
American Samoa,ASM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,264666.1636,482661.2706,596311.5494,..
Angola,AGO,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,5630000,430000,..,..,2495000,3378446.38,1366548.48,1173129.46,470000,20000,6378100,3185000,224315044.6,212220137.3,252852819.1,264702200,212229720,221726875.7,246614994.8,127168951.5,129608227.3,121666360,222726990
Antigua and Barbuda,ATG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,288888.8889,474814.8148,509629.6296,511081.4815,528748.1481,578800,769324.4444,806277.7778,1886308.889,1190460.37,1200365.556,1094687.037,1147304.444,1181754.444,2975174.815,3074426.822,4026738.886,4961232.208,3790929.211,3964437.185,1307832.815,3187710.404,..
Arab World,ARB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,423152346,402587709.2,220064041.9,210484830.3,164739257.3,289649778.4,264755627.3,513265852.8,385879185.8,392258199.6,435296352.4,422359090.7,590060804.2,611288303.5,570922126,637828488.8,728556130.8,601386272.5,647807315.8,669028245.5,635735619.5,762787898.1,301703037.6
Argentina,ARG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,580337544.9,564137635.4,351280000,402950000,520630000,650640000,894824121.7,1174682410,1531726727,1526895361,1712212410,2079139111,2216992900,2329270062,2098996166,2178066124,2108388364,2350351645,2054243293,1688980859,1149104742,1397946196,1706885415
Armenia,ARM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,458100.5587,1564245.81,3391061.453,4217877.095,4547486.034,6771959.279,10347512,9832402.235,11955307.26,13184357.54,14748603.35,10558659.22,9720670.391,8645172.626,10903194.97,13810224.58,..,..,16533453.29,16848539.33,10210598.31,12319999.12,14197498.47
Australia,AUS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1160197303,1001186254,1184791216,1502670172,1743966466,1972287332,2151687683,2809284035,3012858777,2832316675,3423557729,4110573493,4165820497,3913990517,3973566695,3526073729,3331031239,3471857721,3674795660,3455233880,3585412721,3980422321,4049873949
Austria,AUT,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,1333226508,1597968244,1800773476,2092660688,1712417782,1610873768,1864971068,1955209022,1754327695,1777037546,1459761886,1466531271,1663374078,1860498012,2101791072,1635897814,1815605454,..
Azerbaijan,AZE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,2050000,144000,..,46000,1281000,4697000,4827000,19229000,16531000,18423000,28180000,..,..,..,..,..,..,..,..,..,198087000
"Bahamas, The",BHS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,14200000,13200000,13656000,14600000,18500000,16087000,17670000,19680000,17890000,17480000,10570000,15272000,16753000,19200000,19514760.92,17658586.93,22875962.77,14190513.67,10285993.17,10261087.08,6359970.74,7457374.49,..
Bahrain,BHR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
