Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation,Country_Code,Indicator_Name,Indicator_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,developed
Albania,2032160000.0,140259104.8,746585590.2,1082344270.0,874013475.8,ALB,GDP (current US$),NY.GDP.MKTP.CD,3480355258.0,3922100794.0,4348068242.0,5611496257.0,7184685782.0,8052077209.0,8896074996.0,10677324873.0,12881352878.0,12044205572.0,11926926654.0,12890760273.0,12319834233.0,12776224537.0,13228147516.0,11386853143.0,11861199831.0,13019726212.0,15156424062.0,15401826081.0,15162734205.0,17930565119.0,18882095518.0,0.0
Armenia,1224900000.0,44302769.69,130159016.0,1053061668.0,967175073.4,ARM,GDP (current US$),NY.GDP.MKTP.CD,1911563669.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469515.0,6384452071.0,9206301264.0,11662040704.0,8647937091.0,9260285762.0,10142111812.0,10619320693.0,11121464430.0,11609513241.0,10553337528.0,10546136240.0,11527458713.0,12457940705.0,13619290546.0,12641698594.0,13861409969.0,19502783988.0,0.0
Antigua and Barbuda,12000000.0,7435745.73,51614.0,4512640.27,4012867.09,ATG,GDP (current US$),NY.GDP.MKTP.CD,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963.0,1157662963.0,1312759259.0,1370070370.0,1228329630.0,1148700000.0,1137637037.0,1199948148.0,1181448148.0,1249733333.0,1336692593.0,1436585185.0,1467955556.0,1604770370.0,1675403704.0,1416348148.0,1560518519.0,1757603704.0,0.0
Azerbaijan,3479300000.0,532435102.1,108026863.4,2838838035.0,1250363546.0,AZE,GDP (current US$),NY.GDP.MKTP.CD,5272617196.0,5707618247.0,6236086669.0,7276413079.0,8680410158.0,13245421881.0,20981929498.0,33049426816.0,48851318826.0,44292408817.0,52909294792.0,65952763949.0,69679913510.0,74160553009.0,75239737489.0,53076244755.0,37867007023.0,40866632048.0,47112479289.0,48174235294.0,42693000000.0,54825411765.0,78721058824.0,0.0
Burundi,4800000.0,0.0,0.0,4800000.0,0.0,BDI,GDP (current US$),NY.GDP.MKTP.CD,870486065.9,876794723.1,825394519.7,784654423.6,915257323.4,1117113080.0,1273375078.0,1356199387.0,1611835857.0,1781455140.0,2032135191.0,2235820809.0,2333341334.0,2451606632.0,2705783330.0,3104003546.0,2644487777.0,2723586962.0,2667182199.0,2576518879.0,2649680261.0,2775798697.0,3073414678.0,0.0
Bangladesh,54895633.38,0.0,0.0,54895633.38,0.0,BGD,GDP (current US$),NY.GDP.MKTP.CD,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69442943089.0,71819083684.0,79611888213.0,91631278239.0,102478000000.0,115279000000.0,128638000000.0,133356000000.0,149991000000.0,172885000000.0,195079000000.0,265236000000.0,293755000000.0,321379000000.0,351238000000.0,373902000000.0,416265000000.0,460201000000.0,0.0
"Bahamas, The",142800000.0,3548186.46,0.0,139251813.5,100000000.0,BHS,GDP (current US$),NY.GDP.MKTP.CD,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562800000.0,11176100000.0,11672900000.0,11750800000.0,12253500000.0,12653600000.0,13058700000.0,9754600000.0,11527600000.0,12897400000.0,0.0
Bosnia and Herzegovina,2341346697.0,146936983.4,523839172.0,1646124370.0,666978752.1,BIH,GDP (current US$),NY.GDP.MKTP.CD,5567774049.0,5800616572.0,6728219507.0,8498893358.0,10156541358.0,11222796197.0,12864842269.0,15778737117.0,19112801197.0,17613946109.0,17176320823.0,18644239028.0,17226736285.0,18179104549.0,18558731213.0,16404352156.0,17116926092.0,18326376394.0,20484048416.0,20482603346.0,20226030731.0,23649566069.0,24527507288.0,0.0
Belize,162400000.0,6433909.63,28433802.05,127532288.3,36696267.8,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1116000000.0,1163000000.0,1233000000.0,1298000000.0,1389500000.0,1461500000.0,1581000000.0,1696000000.0,1729000000.0,1680500000.0,1738500000.0,1819500000.0,1903000000.0,2029500000.0,2138000000.0,2210500000.0,2258500000.0,2286000000.0,2315000000.0,2416500000.0,2080000000.0,2491500000.0,2824081836.0,0.0
Bolivia,1632200000.0,39319264.45,536437375.2,1056443360.0,778714903.8,BOL,GDP (current US$),NY.GDP.MKTP.CD,8397855937.0,8141517339.0,7905485146.0,8082399991.0,8773451752.0,9549122313.0,11451845379.0,13120107739.0,16674276979.0,17339992194.0,19649724656.0,23963162969.0,27084497482.0,30659338886.0,32996188017.0,33000198249.0,33941126194.0,37508642171.0,40287647931.0,40895322851.0,36629843806.0,40408208524.0,43068885673.0,0.0
Barbados,353350000.0,16814302.35,0.0,336535697.7,220722499.7,BRB,GDP (current US$),NY.GDP.MKTP.CD,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217450800.0,4674007450.0,4784925100.0,4465657300.0,4529928300.0,4657699450.0,4610096000.0,4677248300.0,4696344350.0,4724691200.0,4832811750.0,4981588900.0,5097283200.0,5324250000.0,4671800000.0,4843800000.0,5637914515.0,0.0
Botswana,1441261341.0,141926407.7,443603811.7,855731121.6,538711762.5,BWA,GDP (current US$),NY.GDP.MKTP.CD,5788329609.0,5489608300.0,5438864269.0,7511582173.0,8957467707.0,9918907108.0,9919158482.0,10567270656.0,10730828592.0,10118459714.0,12637273429.0,15110642876.0,13907464500.0,14271738367.0,15470087926.0,13530749290.0,15082636723.0,16105156376.0,17031943186.0,16725908662.0,14960291541.0,18737066307.0,20352322157.0,0.0
China,58145647143.0,5619317329.0,5666011670.0,46733261107.0,15559862065.0,CHN,GDP (current US$),NY.GDP.MKTP.CD,1211330000000.0,1339400000000.0,1470560000000.0,1660280000000.0,1955350000000.0,2285960000000.0,2752120000000.0,3550330000000.0,4594340000000.0,5101690000000.0,6087190000000.0,7551550000000.0,8532190000000.0,9570470000000.0,10475600000000.0,11061600000000.0,11233300000000.0,12310500000000.0,13894900000000.0,14280000000000.0,14687700000000.0,17820500000000.0,17963200000000.0,0.0
Cote d'Ivoire,3062000000.0,445234027.1,40786315.94,2559290478.0,131619145.5,CIV,GDP (current US$),NY.GDP.MKTP.CD,16577533892.0,16810537038.0,18054383334.0,21251754335.0,23510575669.0,24036918719.0,25281413268.0,28760090924.0,34078240260.0,33886813225.0,34936307964.0,36693710822.0,36302302844.0,42760235496.0,48843005625.0,45815005171.0,48407761032.0,52512344034.0,58522477745.0,59898479821.0,62982768372.0,71811075955.0,70018715017.0,0.0
