Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation
Albania,2032160000,140259104.8,746585590.2,1082344270,874013475.8
Algeria,5911830000,1605314650,0,4306515350,0
Angola,6407000000,203643829.8,3372896505,3007022980,2989566101
Antigua and Barbuda,12000000,7435745.73,51614,4512640.27,4012867.09
Argentina,42466653000,4680850784,5289592137,33000224304,9498278955
Armenia,1224900000,44302769.69,130159016,1053061668,967175073.4
Australia,417730000,0,0,417730000,-0.02
Austria,106336428.6,1476346,0,104860082.6,0.01
Azerbaijan,3479300000,532435102.1,108026863.4,2838838035,1250363546
"Bahamas, The",142800000,3548186.46,0,139251813.5,100000000
Bangladesh,54895633.38,0,0,54895633.38,0
Barbados,353350000,16814302.35,0,336535697.7,220722499.7
Belarus,2196420000,460682915.9,69897.36,1742576324,998716485.2
Belgium,76000000,0,0,76000000,0
Belize,162400000,6433909.63,28433802.05,127532288.3,36696267.8
Bolivia,1632200000,39319264.45,536437375.2,1056443360,778714903.8
Bosnia and Herzegovina,2341346697,146936983.4,523839172,1646124370,666978752.1
Botswana,1441261341,141926407.7,443603811.7,855731121.6,538711762.5
Brazil,64642193872,6810518149,2285819482,55892273038,15872819482
Bulgaria,3301265000,356017280.8,0.01,2972458203,437469074.3
Burundi,4800000,0,0,4800000,0
Cabo Verde,62000000,56571.37,2491250,57642057.16,38361069.25
Cameroon,2567100000,300403980.1,750321305.5,1498642496,428311894.6
Caribbean,83000000,30297989.52,0,52702010.48,0
Chad,39500000,2139893.71,0,37360106.29,0
Chile,4644107000,756105274.6,150036400,3858859325,150089600
China,58145647143,5619317329,5666011670,46733261107,15559862065
Colombia,33199488071,2199389377,1371668110,29699591580,15048767376
"Congo, Democratic Republic of",330000000,28484478.13,0,301515521.9,-0.01
"Congo, Republic of",606700000,28572238.96,216080159,358492861.3,159055983.3
Costa Rica,3747770500,374111679.1,878441639.6,2615217181,1564294104
Cote d'Ivoire,3062000000,445234027.1,40786315.94,2559290478,131619145.5
Croatia,5532659331,518288860.1,601091000.1,4286800746,1425355811
Cyprus,418800000,94656258.01,0,324143742,-0.01
Czechia,626000000,114342545.6,0,511686256.7,0
Denmark,85000000,0,0,85000000,0
Dominica,7760000,2763956.4,0,4996043.6,0
Dominican Republic,4491440000,247701300.5,1397721250,2876017450,1555256434
Eastern and Southern Africa,110955000,118750.41,0,110782250.6,0
Ecuador,9525580000,1061200969,1559592169,6904786862,4475842910
"Egypt, Arab Republic of",23847450000,2755404947,2741113398,18308973603,12267834934
El Salvador,3292685000,305412697.8,762590362,2224681940,857495776.4
Estonia,150700000,19676222.12,0.01,125411712.3,0
Eswatini,410000000,55591797.41,95845006.3,307892402.8,185536491.8
Ethiopia,108600000,3022.78,0,108596977.2,0
Fiji,354850000,9920950.01,11495848.67,333433201.3,182983751.5
Finland,316779464.4,14542428.74,0,302237035.7,0
France,250000000,0,0,250000000,0
Gabon,1221500000,108632484.2,109903116.1,1000747444,660691710.9
Georgia,2516800000,36943124.12,870984184.5,1583048416,1446645401
Ghana,190500000,200780020.8,0,189719979.2,0
Greece,490800000,118459339.8,0,372340660.2,0
Grenada,40198161,5462837.05,2450533.13,32284790.82,12451866.71
Guatemala,4817610000,505039693.1,473269249,3959301058,2081848037
Guinea,75200000,1700000,0,73500000,0
Guyana,79950000,3738478.12,0,76211521.88,0.01
Haiti,2600000,0,0,2600000,0
Honduras,717250000,26269346.96,0,690980653,-0.01
Hungary,5946880000,2381104063,0.01,3561137212,0
Iceland,47014000,0,0,47014000,0.04
India,79180360000,13908668124,13484510268,51985397565,20712853300
Indonesia,64315748591,8191323300,6242964637,49865978162,19814170572
"Iran, Islamic Republic of",3553100000,517083088.8,0,3033918490,132737731.3
