Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation,Country_Code,Series_Name,Series_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,developed
Albania,2032160000.0,140259104.8,746585590.2,1082344270.0,874013475.8,ALB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,8358857.12,4942627.61,4204267.362,6768509.008,11850000,12517993.93,14487498.76,12138446.11,12703928.18,23362460.05,22607333.78,21881927.42,24578013.75,23163082.28,13132426.91,26412466.5,34784215.26,38609323.64,34763724.47,31727566.82,0.0
Algeria,5911830000.0,1605314650.0,0.0,4306515350.0,0.0,DZA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,2000000,15000000,10547283.08,10163263.96,17088438.14,92466206.42,90367205.16,137274934.9,162112437.3,143997401.9,250010594.1,152897904.4,147268735.1,115089900.8,143098650.4,133392700.5,202987326.1,122677213.9,0.0
Antigua and Barbuda,12000000.0,7435745.73,51614.0,4512640.27,4012867.09,ATG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,288888.8889,474814.8148,509629.6296,511081.4815,528748.1481,578800,769324.4444,806277.7778,1886308.889,1190460.37,1200365.556,1094687.037,1147304.444,1181754.444,2975174.815,3074426.822,4026738.886,4961232.208,3790929.211,3964437.185,1307832.815,3187710.404,0.0,0.0
Armenia,1224900000.0,44302769.69,130159016.0,1053061668.0,967175073.4,ARM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,3479300000.0,532435102.1,108026863.4,2838838035.0,1250363546.0,AZE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,2050000,144000,0.0,46000,1281000,4697000,4827000,19229000,16531000,18423000,28180000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198087000,0.0
"Bahamas, The",142800000.0,3548186.46,0.0,139251813.5,100000000.0,BHS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,14200000,13200000,13656000,14600000,18500000,16087000,17670000,19680000,17890000,17480000,10570000,15272000,16753000,19200000,19514760.92,17658586.93,22875962.77,14190513.67,10285993.17,10261087.08,6359970.74,7457374.49,0.0,0.0
Bangladesh,54895633.38,0.0,0.0,54895633.38,0.0,BGD,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,4420433.713,5501180.321,3126595.325,3714009.002,5091128.134,2744867.845,5241859.55,7675990.798,21923483.75,8385816.874,17636698.54,10470569.01,10816541.94,20488449.15,30127601.64,24374495.85,46541986.24,25938279.03,41791531.83,47747802.84,64723020.59,63112111.56,49515537.08,0.0
Barbados,353350000.0,16814302.35,0.0,336535697.7,220722499.7,BRB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,23700000,24300000,24600000,24950000,25014134.73,19056795.12,34399126.82,25952719.09,31817107.51,36771831.54,19151125.03,12675727,9472731.572,12725656.34,13883612.03,17259500.78,13411945.39,14559781.96,0.0,0.0,0.0,0.0,0.0,0.0
Belize,162400000.0,6433909.63,28433802.05,127532288.3,36696267.8,BLZ,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,2920196.015,2192434.96,343911.6623,229944.9643,421590.46,390409.2766,381894.1646,863405.5421,743250.8072,1100349.464,1382149.283,1976691.481,2271626.485,2338069.771,4847919.581,4139216.684,2625094.432,3585358.784,7886378.997,7438447.633,5598606.08,9260152.848,12679939.65,0.0
Bolivia,1632200000.0,39319264.45,536437375.2,1056443360.0,778714903.8,BOL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,5000000,5280000,5740000,7990000,9681000,11200000,14421000,16187000,17805000,18650000,19805000,20800500,42441212.07,50427298.2,68285439.41,83568649.7,99382292.88,93745643.08,81071369.89,76817706.71,37680170.56,28856775.07,25194145.04,0.0
Bosnia and Herzegovina,2341346697.0,146936983.4,523839172.0,1646124370.0,666978752.1,BIH,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,8258726.12,9601090.114,10797196.74,5967649.542,5468247.411,4604166.894,9082194.357,7514459.638,6923384.87,9975386.655,7831871.701,8759802.107,8376030.037,13967684.79,13746877.35,15978640.27,15733082.02,0.0
