Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,308406.5,94761.12,27577849.86,47084262.04,10738034.53,10944020.31,107890.1091,242475.5418,36802.95,180660.3999,2402430.875,4778790.721,6111813.816,..,..
Africa Eastern and Southern,AFE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,5599997.762,5599997.762,8399996.643,15399993.85,15399993.85,26599989.37,26599989.37,32199987.13,37799984.9,39199984.34,46199981.54,47527375.68,63773980.21,78078851.9,72148373.09,107043108,111424412.8,147872278.8,181309089.8,177728123.6,220288726.3,234429968.2,212926712,220912474.5,173752336.2,126039179.2,134591645.8,189284510.5,179288967,162062975.2,167274402.5,209382301.4,180139306.9,260238512.7,236955019.5,393810107.3,383757638.5,386585738.6,343401984.9,329550880.4,396369882.1,458714373.8,587668403.8,762155199.1,1066498400,1260750200,1460852925,1836130528,1913592060,1912270944,2068158357,2218812933,2366000693,2379213510,2368730261,2256460185,2394607871,2552763141,2161661761,1787646005,1671894739,1895894901,1720255711
Africa Western and Central,AFW,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,124634.06,139982.2407,125549.0184,122110.2177,221576.3417,3071440.954,58650568.42,85049182.94,30592773.92,14479603.2,3249268.771,2660288.728,4111132.783,1466785.378,2529399.873,1252353.304,919342.1738,1225449.505,3766087.243,4803075.62,1723322.208,1787869.352,4450062.873,8642808.094,7558945.356,11836951.41,12565896.59,8571818.725,7642540.627,56895380.22,15260467.69,105306761.3,115950984.5,219481160.7,247502232.9,262738120.5,266899774,251239858.9,283984358.7,278039100.4,289056236.2,276882578.3,273617352.8,278307224.6,332642747.6,500983672.4,436502606.1,518136175.4,254051734
Albania,ALB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8358857.12,4942627.61,4204267.362,6768509.008,11850000,12517993.93,14487498.76,12138446.11,12703928.18,23362460.05,22607333.78,21881927.42,24578013.75,23163082.28,13132426.91,26412466.5,34784215.26,38609323.64,34763724.47,31727566.82
Algeria,DZA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,964608.9016,1260747.876,2335680.549,260589.7146,1158531.523,1306565.674,1044102.907,602001.6556,1193364.891,212661.1351,412393.1,676273.5075,1182878.491,1339658.257,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2000000,15000000,10547283.08,10163263.96,17088438.14,92466206.42,90367205.16,137274934.9,162112437.3,143997401.9,250010594.1,152897904.4,147268735.1,115089900.8,143098650.4,133392700.5,202987326.1,122677213.9
American Samoa,ASM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,264666.1636,482661.2706,596311.5494,..
Angola,AGO,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,290000,1170000,1660000,5630000,430000,..,..,2495000,3378446.38,1366548.48,1173129.46,470000,20000,6378100,3185000,224315044.6,212220137.3,252852819.1,264702200,212229720,221726875.7,246614994.8,127168951.5,129608227.3,121666360,222726990
Antigua and Barbuda,ATG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,133333.3333,..,311111.1111,260000,288888.8889,474814.8148,509629.6296,511081.4815,528748.1481,578800,769324.4444,806277.7778,1886308.889,1190460.37,1200365.556,1094687.037,1147304.444,1181754.444,2975174.815,3074426.822,4026738.886,4961232.208,3790929.211,3964437.185,1307832.815,3187710.404,..
Arab World,ARB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22702105.81,28737501.6,36049633.65,31260717.88,32085875.1,37093976.86,26485775.8,15419081.44,13137492,13995057.68,12820700.82,16468463.02,21597085.59,44407963.15,51716893.25,62048627.92,61495810.2,68243385.8,78748999.79,609512999.1,224169818.4,176057689.9,491829384,566753377.6,532460827.8,423152346,402587709.2,220064041.9,210484830.3,164739257.3,289649778.4,264755627.3,513265852.8,385879185.8,392258199.6,435296352.4,422359090.7,590060804.2,611288303.5,570922126,637828488.8,728556130.8,601386272.5,647807315.8,669028245.5,635735619.5,762787898.1,301703037.6
