"country","Hdi2021","Hdi2020"
"Switzerland",0.962,0.956
"Norway",0.961,0.959
"Iceland",0.959,0.957
"Hong Kong",0.952,0.949
"Australia",0.951,0.947
"Denmark",0.948,0.947
"Sweden",0.947,0.942
"Ireland",0.945,0.943
"Germany",0.942,0.944
"Netherlands",0.941,0.939
"Finland",0.94,0.938
"Singapore",0.939,0.939
"Belgium",0.937,0.928
"New Zealand",0.937,0.936
"Canada",0.936,0.931
"Liechtenstein",0.935,0.933
"Luxembourg",0.93,0.924
"United Kingdom",0.929,0.924
"Japan",0.925,0.923
"South Korea",0.925,0.922
"United States",0.921,0.92
"Israel",0.919,0.917
"Slovenia",0.918,0.913
"Malta",0.918,0.911
"Austria",0.916,0.913
"United Arab Emirates",0.911,0.912
"Spain",0.905,0.899
"France",0.903,0.898
"Cyprus",0.896,0.894
"Italy",0.895,0.889
"Estonia",0.89,0.892
"Czech Republic",0.889,0.892
"Greece",0.887,0.886
"Poland",0.876,0.876
"Saudi Arabia",0.875,0.87
"Lithuania",0.875,0.879
"Bahrain",0.875,0.877
"Portugal",0.866,0.863
"Latvia",0.863,0.871
"Croatia",0.858,0.855
"Andorra",0.858,0.848
"Chile",0.855,0.852
"Qatar",0.855,0.854
"San Marino",0.853,0.845
"Slovakia",0.848,0.857
"Hungary",0.846,0.849
"Argentina",0.842,0.84
"Turkey",0.838,0.833
"Montenegro",0.832,0.826
"Kuwait",0.831,0.822
"Russia",0.829,0.83
"Brunei",0.829,0.83
"Romania",0.821,0.824
"Oman",0.816,0.827
"Bahamas",0.812,0.815
"Kazakhstan",0.811,0.814
"Trinidad and Tobago",0.81,0.818
"Costa Rica",0.809,0.816
"Uruguay",0.809,0.821
"Belarus",0.808,0.807
"Panama",0.805,0.801
"Malaysia",0.803,0.806
"Serbia",0.802,0.804
"Georgia",0.802,0.802
"Mauritius",0.802,0.804
"Thailand",0.8,0.802
